Overall rank,country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
145,Afghanistan,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,0,0,0,0.0,Asia
112,Albania,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032,89,132,54,4.9,Europe
84,Algeria,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135,25,0,14,0.7,Africa
142,Angola,3.795,0.73,1.125,0.26899999999999996,0.0,0.079,0.061,217,57,45,5.9,Africa
29,Argentina,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006,193,25,221,8.3,South America
129,Armenia,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997,21,179,11,3.8,Europe
10,Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,261,72,212,10.4,Oceania
12,Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,279,75,191,9.7,Europe
87,Azerbaijan,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,21,46,5,1.3,Europe
43,Bahrain,6.105,1.338,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001,42,63,7,2.0,Asia
115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000002,0,0,0,0.0,Asia
73,Belarus,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154,142,373,42,14.4,Europe
16,Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,295,84,212,10.5,Europe
49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000001,263,114,8,6.8,North America
136,Benin,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067,34,4,13,1.1,Africa
97,Bhutan,5.082,0.7959999999999999,1.335,0.527,0.541,0.364,0.171,23,0,0,0.4,Asia
62,Bolivia,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,0.054000000000000006,167,41,8,3.8,South America
146,Botswana,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,173,35,35,5.4,Africa
28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.08800000000000001,245,145,16,7.2,South America
100,Bulgaria,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,231,252,94,10.3,Europe
121,Burkina Faso,4.4239999999999995,0.314,1.097,0.254,0.312,0.175,0.128,25,7,7,4.3,Africa
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,88,0,0,6.3,Africa
120,Cambodia,4.433,0.5489999999999999,1.088,0.457,0.696,0.256,0.065,57,65,1,2.2,Asia
99,Cameroon,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043,147,1,4,5.8,Africa
7,Canada,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,240,122,100,8.2,North America
155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,17,2,1,1.8,Africa
131,Chad,4.301,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06,15,1,1,0.4,Africa
25,Chile,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061,130,124,172,7.6,South America
86,China,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,79,192,8,5.0,Asia
37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,159,76,3,4.2,South America
13,Costa Rica,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,149,87,11,4.4,North America
82,Croatia,5.321000000000001,1.115,1.161,0.737,0.38,0.12,0.039,230,87,254,10.2,Europe
61,Cyprus,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,0.035,192,154,113,8.2,Europe
21,Czech Republic,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,361,170,134,11.8,Europe
3,Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,224,81,278,10.4,Europe
83,Dominican Republic,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,0.106,193,147,9,6.2,North America
48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,162,74,3,4.2,South America
122,Egypt,4.419,0.885,1.025,0.5529999999999999,0.312,0.092,0.107,6,4,1,0.2,Africa
